City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,waingapu,-9.6567,120.2641,28.26,59,63,4.31,ID,1722667402
174,susanville,40.4163,-120.653,21.56,54,100,2.37,US,1722667403
175,karratha,-20.7377,116.8463,24.82,59,58,3.64,AU,1722667405
176,siguiri,11.6667,-9.5,22.35,97,100,1.61,GN,1722667406
177,jayapura,-2.5333,140.7,31.66,83,60,4.07,ID,1722667408
178,ozar,20.1,73.9333,22.78,97,100,7.61,IN,1722667409
179,binefar,41.8488,0.2968,19.43,64,0,1.68,ES,1722667410
180,thompson,55.7435,-97.8558,11.09,87,40,2.57,CA,1722667333
181,sisimiut,66.9395,-53.6735,7.14,79,5,0.63,GL,1722667413
182,adrar,20.5022,-10.0711,31.8,36,3,4.67,MR,1722667415
183,mao,39.8885,4.2658,26.31,69,0,11.83,ES,1722667416
184,vila franca do campo,37.7167,-25.4333,22.23,99,10,1.6,PT,1722667417
185,la ronge,55.1001,-105.2842,11.14,76,20,0.0,CA,1722667419
186,papao,-17.75,-149.55,21.82,70,20,6.04,PF,1722667420
187,shizuishan,39.2333,106.7694,31.87,29,6,4.08,CN,1722667421
188,yerofey pavlovich,53.9667,121.9667,25.45,27,99,3.16,RU,1722667423
189,rosarito,32.3333,-117.0333,21.94,78,0,3.07,MX,1722667424
190,sur,22.5667,59.5289,36.52,46,81,1.66,OM,1722667426
191,juneau,58.3019,-134.4197,13.0,89,20,0.0,US,1722667427
192,tofol,5.3248,163.0078,28.99,70,62,3.24,FM,1722667428
193,er regueb,34.8593,9.7865,31.92,30,74,4.03,TN,1722667430
194,stanley,54.868,-1.6985,13.73,82,0,5.66,GB,1722667431
195,semnan,35.5729,53.3971,34.9,19,5,5.43,IR,1722667433
196,guerrero negro,27.9769,-114.0611,20.49,83,5,4.38,MX,1722667434
197,greenfields,-33.0333,27.8622,11.08,87,0,3.09,ZA,1722667435
198,viedma,-40.8135,-62.9967,12.94,38,98,7.91,AR,1722667437
199,sao gabriel da cachoeira,-0.1303,-67.0892,22.21,99,98,0.97,BR,1722667438
200,berdigestyakh,62.0989,126.6992,22.6,26,7,0.7,RU,1722667440
201,las margaritas,16.3167,-91.9833,15.55,98,100,1.99,MX,1722667441
202,sitka,57.0531,-135.33,15.94,72,40,6.69,US,1722667442
203,giado,31.9582,12.0203,30.68,29,0,4.98,LY,1722667445
204,vernon,50.2581,-119.2691,26.27,46,14,2.57,CA,1722667447
205,saint-mandrier-sur-mer,43.078,5.929,27.92,66,0,2.24,FR,1722667448
206,fonte boa,-2.4959,-66.2662,22.33,98,100,1.11,BR,1722667449
207,georgetown,5.4112,100.3354,32.96,55,20,5.14,MY,1722667184
208,klaksvik,62.2266,-6.589,11.51,93,100,5.54,FO,1722667452
209,atafu village,-8.5421,-172.5159,28.81,75,56,6.92,TK,1722667454
210,sinnar,13.5691,33.5672,25.11,68,100,3.84,SD,1722667455
211,tsiombe,-25.3,45.4833,22.82,52,0,0.83,MG,1722667458
212,pacific grove,36.6177,-121.9166,18.9,95,20,1.54,US,1722667459
213,pont-sainte-marie,48.3185,4.0945,18.03,82,0,4.63,FR,1722667461
214,nogliki,51.8333,143.1667,15.76,58,100,2.95,RU,1722667462
215,sola,-13.8833,167.55,26.37,89,75,2.06,VU,1722667463
216,uirauna,-6.5183,-38.4122,18.85,82,20,2.7,BR,1722667465
217,mahibadhoo,3.7833,72.9667,28.31,72,100,0.97,MV,1722667466
218,chernyshevsk,52.5243,117.0174,21.48,49,100,4.05,RU,1722667468
219,preston,53.7667,-2.7167,16.21,76,100,3.69,GB,1722667469
220,rodos,36.4408,28.2225,27.1,67,0,6.69,GR,1722667470
221,ambovombe,-25.1667,46.0833,21.79,54,0,1.47,MG,1722667472
222,uzgen,40.7699,73.3007,31.16,13,3,4.97,KG,1722667473
223,okondja,-0.6549,13.6753,26.24,54,5,2.44,GA,1722667475
224,griffith,41.5284,-87.4237,22.57,93,0,1.54,US,1722667204
225,mejit,10.2753,170.8646,28.4,76,9,2.27,MH,1722667477
226,tolanaro,-25.0319,46.9987,19.04,88,20,2.06,MG,1722667479
227,kavieng,-2.5744,150.7967,29.09,73,100,3.86,PG,1722667480
228,huarmey,-10.0681,-78.1522,16.36,89,22,4.04,PE,1722667483
229,tindouf,27.6711,-8.1474,29.25,15,0,5.14,DZ,1722667484
230,manggar,-2.8833,108.2667,29.48,70,71,5.61,ID,1722667486
231,gobabis,-22.45,18.9667,20.92,19,1,5.5,NA,1722667487
232,vadso,70.0744,29.7487,13.49,88,100,5.14,NO,1722667489
233,mugia,43.1041,-9.2179,18.02,83,3,2.92,ES,1722667490
234,nemuro,43.3236,145.575,18.31,85,100,5.29,JP,1722667491
235,wotho,10.1657,166.0102,28.95,74,12,3.05,MH,1722667494
236,tyuratam,45.6507,63.3156,33.15,16,0,4.93,KZ,1722667496
237,fale old settlement,-9.3852,-171.2468,27.95,77,100,6.85,TK,1722667497
238,margaret river,-33.95,115.0667,13.76,72,100,3.93,AU,1722667499
239,kapuskasing,49.4169,-82.4331,16.0,94,20,1.54,CA,1722667333
240,murzuq,25.9155,13.9184,30.68,22,0,1.98,LY,1722667501
241,xingcheng,40.6167,120.7167,28.73,77,94,3.53,CN,1722667503
242,tazovsky,67.4667,78.7,18.43,74,25,4.06,RU,1722667504
243,bredasdorp,-34.5322,20.0403,8.72,80,0,1.03,ZA,1722667506
244,bayombong,16.4833,121.1333,29.58,79,38,0.48,PH,1722667507
245,cockburn town,21.4612,-71.1419,28.19,83,99,9.06,TC,1722667508
246,nizhnesortymskiy,62.4397,71.7603,23.81,63,100,6.29,RU,1722667510
247,howard springs,-12.497,131.047,32.21,49,99,3.91,AU,1722667511
248,dhulikhel,27.6189,85.5529,25.75,86,100,1.53,NP,1722667513
249,chimore,-16.9833,-65.1333,24.18,65,97,0.48,BO,1722667514
250,vielha,42.6846,0.7726,9.1,90,73,2.2,ES,1722667516
251,nova sintra,14.8667,-24.7167,25.13,80,100,6.29,CV,1722667518
252,invercargill,-46.4,168.35,4.45,88,0,0.81,NZ,1722667519
253,yarovoye,52.9273,78.58,25.87,58,100,4.97,RU,1722667520
254,ugoofaaru,5.6667,73.0,27.57,76,100,1.62,MV,1722667522
255,agadez,19.75,10.25,31.98,36,71,2.55,NE,1722667523
256,saint-philippe,-21.3585,55.7679,22.28,76,95,3.35,RE,1722667525
257,lensk,60.7253,114.9278,24.29,27,3,3.1,RU,1722667527
258,nephi,39.7102,-111.8363,25.86,20,96,1.89,US,1722667441
259,reggane,26.7158,0.1714,34.78,11,0,6.49,DZ,1722667530
260,fort st. john,56.2499,-120.8529,14.94,58,75,3.6,CA,1722667532
261,arvayheer,46.2639,102.775,18.85,39,5,7.16,MN,1722667533
262,timimoun,29.2639,0.231,27.21,17,0,2.57,DZ,1722667535
263,djibouti,11.5,42.5,26.26,64,100,3.9,DJ,1722667362
264,salamanca,40.8333,-6.0,16.66,61,0,3.42,ES,1722667537
265,baardheere,2.3446,42.2764,27.8,53,100,9.65,SO,1722667539
266,tchintabaraden,15.8969,5.7985,27.08,68,73,5.97,NE,1722667540
267,egersund,58.4513,5.9997,16.72,80,100,2.57,NO,1722667542
268,hsinchu,24.8036,120.9686,34.99,63,0,2.24,TW,1722667543
269,muynoq,43.7683,59.0214,34.37,19,0,2.5,UZ,1722667544
270,el calafate,-50.3408,-72.2768,1.65,98,100,1.92,AR,1722667546
271,kimbe,-5.5502,150.1429,26.69,83,100,4.25,PG,1722667547
272,piti village,13.4626,144.6933,30.03,79,40,6.17,GU,1722667549
273,beloomut,54.9448,39.3394,20.19,68,39,3.09,RU,1722667550
